player_id,match-format,matches,innings,notouts,runs,hi_score,average,balls_faced,strike_rate,hundreds,fifties,fours,sixes,catches,stumps
546083,Women's T20I,9,4,0,44,36,11,42,104.76,0,0,3,0,2,0
308406,First-Class,1,2,0,65,43,32.5,159,40.88,0,0,9,0,2,0
308406,List A,2,2,0,13,13,6.5,44,29.54,0,0,1,0,0,0
1158419,Women's T20I,6,1,0,0,0,0,2,0,0,0,0,0,5,2
24823,First-Class,7,12,2,39,20*,3.9,241,16.18,0,0,5,0,3,0
24823,List A,4,3,0,8,4,2.66,20,40,0,0,0,0,1,0
553821,ODI,29,26,3,651,94,28.3,773,84.21,0,2,34,31,9,0
553821,T20I,32,27,10,564,71,33.17,382,147.64,0,2,32,34,15,0
553821,First-Class,41,73,13,1100,77,18.33,2433,45.21,0,3,106,34,13,0
553821,List A,99,85,20,1722,120,26.49,1977,87.1,1,4,84,92,35,0
553821,T20,69,54,20,883,71,25.97,596,148.15,0,3,47,55,25,0
637293,First-Class,24,41,14,112,26*,4.14,351,31.9,0,0,15,3,8,0
637293,List A,15,7,3,33,16*,8.25,46,71.73,0,0,3,1,3,0
637293,T20,9,3,1,7,5,3.5,13,53.84,0,0,0,0,1,0
24827,ODI,5,4,0,5,5,1.25,9,55.55,0,0,1,0,0,0
24827,First-Class,72,130,9,4499,230,37.18,6258,71.89,6,25,,,36,0
24827,List A,130,125,11,3948,196,34.63,4312,91.55,4,27,,,32,0
24827,T20,53,52,3,1146,92*,23.38,833,137.57,0,6,98,64,7,0
233061,First-Class,14,26,3,755,206,32.82,1197,63.07,1,4,97,5,19,0
233061,List A,27,27,0,458,87,16.96,681,67.25,0,2,43,6,30,1
233061,T20,13,9,3,77,36,12.83,91,84.61,0,0,8,1,7,4
24846,ODI,5,5,0,43,23,8.6,94,45.74,0,0,4,0,0,0
24846,First-Class,8,16,1,372,74*,24.8,690,53.91,0,2,,,3,0
24846,List A,25,24,1,312,39,13.56,511,61.05,0,0,,,10,0
698317,ODI,34,26,4,335,55*,15.22,386,86.78,0,1,20,16,13,0
698317,T20I,19,10,7,88,25*,29.33,70,125.71,0,0,6,4,4,0
698317,First-Class,17,19,2,345,73,20.29,621,55.55,0,2,35,10,5,0
698317,List A,47,33,4,505,67,17.41,565,89.38,0,3,36,20,16,0
698317,T20,24,13,8,106,25*,21.2,87,121.83,0,0,6,6,4,0
1119572,Women's T20I,59,57,9,967,57,20.14,1170,82.64,0,2,86,4,19,0
24843,First-Class,1,2,0,50,48,25,130,38.46,0,0,,,0,0
24843,List A,5,5,0,67,46,13.4,165,40.6,0,0,,,2,0
233063,First-Class,39,70,4,1555,85*,23.56,2151,72.29,0,10,195,36,13,0
233063,List A,88,83,8,1400,97,18.66,1393,100.5,0,8,129,50,37,0
233063,T20,45,44,1,917,145,21.32,637,143.95,2,4,81,53,7,0
833777,ODI,28,27,5,873,133,39.68,951,91.79,4,2,90,20,7,0
833777,T20I,13,10,0,168,51,16.8,162,103.7,0,1,18,3,6,0
833777,First-Class,1,2,0,22,17,11,37,59.45,0,0,4,0,0,0
833777,List A,29,28,5,873,133,37.95,954,91.5,4,2,90,20,8,0
833777,T20,13,10,0,168,51,16.8,162,103.7,0,1,18,3,6,0
330222,First-Class,1,2,2,5,4*,,20,25,0,0,0,0,0,0
308411,First-Class,2,1,1,1,1*,,6,16.66,0,0,0,0,0,0
24798,ODI,3,3,2,26,17,26,38,68.42,0,0,3,0,0,0
24798,First-Class,6,8,3,111,43*,22.2,121,91.73,0,0,4,5,1,0
24798,List A,10,9,3,70,18,11.66,90,77.77,0,0,,,0,0
546084,Women's T20I,1,1,1,39,39*,,30,130,0,0,1,2,0,0
536597,First-Class,19,31,5,248,29,9.53,981,25.28,0,0,20,1,7,0
536597,List A,11,8,4,42,15*,10.5,95,44.21,0,0,2,0,6,0
536597,T20,2,1,0,11,11,11,11,100,0,0,1,0,0,0
24804,ODI,5,5,1,58,24,14.5,111,52.25,0,0,3,1,4,0
24804,First-Class,2,2,0,0,0,0,44,0,0,0,0,0,3,0
24804,List A,18,15,2,148,24,11.38,331,44.71,0,0,,,20,0
308405,First-Class,92,170,13,4303,157,27.4,9408,45.73,5,20,487,15,161,6
308405,List A,103,101,11,2618,93*,29.08,3896,67.19,0,18,,,64,7
308405,T20,70,67,14,1550,79*,29.24,1496,103.6,0,7,119,16,30,5
24825,ODI,5,5,2,26,14,8.66,38,68.42,0,0,2,1,0,0
24825,List A,21,16,9,60,14*,8.57,94,63.82,0,0,,,4,0
434317,First-Class,20,37,3,764,58*,22.47,1915,39.89,0,3,81,1,17,0
434317,List A,22,19,0,268,60,14.1,494,54.25,0,1,27,1,5,0
434317,T20,3,2,1,2,2*,2,5,40,0,0,0,0,1,0
595812,First-Class,1,2,2,0,0*,,2,0,0,0,0,0,0,0
1276633,Women's T20I,1,1,0,1,1,1,10,10,0,0,0,0,0,0
1158510,Women's T20I,25,19,1,126,27*,7,170,74.11,0,0,4,5,2,0
546085,Women's T20I,48,32,10,214,23,9.72,363,58.95,0,0,5,0,6,0
209293,First-Class,16,26,10,326,50,20.37,732,44.53,0,1,,,11,1
209293,List A,24,16,6,231,48,23.1,,,0,0,,,9,0
1170967,Women's T20I,5,5,0,40,15,8,68,58.82,0,0,4,0,1,0
24830,First-Class,31,50,8,900,114,21.42,1417,63.51,1,3,,,47,3
24830,List A,26,20,5,251,42,16.73,249,100.8,0,0,23,6,14,0
24830,T20,17,13,5,173,33*,21.62,142,121.83,0,0,16,5,5,0
387845,ODI,2,2,1,19,17*,19,23,82.6,0,0,2,0,2,0
387845,T20I,12,7,3,68,33,17,70,97.14,0,0,7,1,5,0
387845,First-Class,80,136,10,2788,182*,22.12,5632,49.5,1,12,335,30,37,0
387845,List A,89,77,20,1209,87*,21.21,1582,76.42,0,6,100,16,29,0
387845,T20,76,51,13,481,62*,12.65,461,104.33,0,1,44,8,30,0
24835,ODI,2,2,0,0,0,0,5,0,0,0,0,0,0,0
24835,First-Class,4,6,0,76,25,12.66,154,49.35,0,0,,,0,0
24835,List A,21,21,1,380,48,19,504,75.39,0,0,,,4,0
524078,First-Class,6,11,3,76,28,9.5,180,42.22,0,0,9,1,6,0
524078,List A,2,1,0,2,2,2,10,20,0,0,0,0,0,0
524078,T20,8,7,5,95,24*,47.5,81,117.28,0,0,8,1,2,0
221140,ODI,15,15,2,330,67,25.38,369,89.43,0,1,21,10,2,0
221140,T20I,39,30,10,453,66*,22.65,360,125.83,0,2,28,18,11,0
221140,First-Class,124,194,20,5814,208,33.41,8190,70.98,11,32,811,101,70,0
221140,List A,162,139,28,3939,171,35.48,3453,114.07,2,22,349,156,50,0
221140,T20,350,268,90,4047,79*,22.73,2801,144.48,0,11,278,216,123,0
316102,ODI,18,18,2,488,129*,30.5,650,75.07,1,1,40,8,6,0
316102,T20I,35,33,4,805,81,27.75,713,112.9,0,6,69,23,3,0
316102,First-Class,93,171,11,6484,184,40.52,9163,70.76,15,34,784,114,76,0
316102,List A,167,162,20,5011,129*,35.28,5901,84.91,8,33,,,65,0
316102,T20,114,109,14,2551,125,26.85,2032,125.54,2,13,187,106,29,0
546086,Women's T20I,51,49,4,813,93*,18.06,818,99.38,0,5,95,17,12,0
308410,ODI,25,21,11,263,52*,26.3,300,87.66,0,1,21,10,7,0
308410,T20I,18,10,3,32,13,4.57,37,86.48,0,0,2,1,2,0
308410,First-Class,47,93,2,1448,83,15.91,4007,36.13,0,4,185,5,14,0
308410,List A,50,44,11,598,52*,18.12,902,66.29,0,1,58,17,9,0
308410,T20,49,36,8,435,54,15.53,465,93.54,0,1,46,5,9,0
1119578,Women's T20I,59,56,11,925,78*,20.55,986,93.81,0,4,106,3,25,4
1325901,T20I,1,1,1,1,1*,,2,50,0,0,0,0,1,0
1325901,T20,1,1,1,1,1*,,2,50,0,0,0,0,1,0
1271987,T20I,2,0,0,0,-,,0,,0,0,0,0,0,0
1271987,T20,2,0,0,0,-,,0,,0,0,0,0,0,0
1274628,Women's T20I,7,5,0,47,39,9.4,64,73.43,0,0,2,0,2,0
1268912,Women's T20I,1,1,0,1,1,1,10,10,0,0,0,0,0,0
366042,Women's T20I,16,13,2,85,17,7.72,113,75.22,0,0,8,0,5,0
1196234,Women's T20I,17,11,2,66,38*,7.33,120,55,0,0,7,0,5,0
1196244,Women's T20I,17,5,1,3,3,0.75,28,10.71,0,0,0,0,3,0
1268906,Women's T20I,29,27,6,235,68*,11.19,448,52.45,0,1,11,0,9,0
1268907,Women's T20I,14,14,0,118,32,8.42,170,69.41,0,0,10,0,3,0
1195651,T20I,16,15,3,206,89*,17.16,163,126.38,0,1,16,8,4,0
1195651,T20,16,15,3,206,89*,17.16,163,126.38,0,1,16,8,4,0
1196249,Women's T20I,17,7,0,14,11,2,49,28.57,0,0,1,0,2,2
1196247,Women's T20I,12,8,3,15,5,3,36,41.66,0,0,1,0,3,0
1196239,Women's T20I,6,4,2,72,32*,36,131,54.96,0,0,1,0,2,0
1196235,Women's T20I,5,3,3,54,34*,,51,105.88,0,0,7,0,1,0
1271983,T20I,18,7,3,24,18,6,58,41.37,0,0,1,0,9,0
1271983,List A,1,1,1,1,1*,,2,50,0,0,0,0,1,0
1271983,T20,18,7,3,24,18,6,58,41.37,0,0,1,0,9,0
596607,Women's T20I,16,14,4,69,19*,6.9,87,79.31,0,0,6,0,0,0
1313542,Women's T20I,16,13,2,136,32*,12.36,212,64.15,0,0,3,0,5,0
